sample_id,breed_id,species_id,source_split,split
Abyssinian_1,0,0,trainval,train
Abyssinian_10,0,0,trainval,train
Abyssinian_101,0,0,trainval,train
Abyssinian_103,0,0,trainval,train
Abyssinian_104,0,0,trainval,train
Abyssinian_105,0,0,trainval,train
Abyssinian_107,0,0,trainval,train
Abyssinian_109,0,0,trainval,train
Abyssinian_11,0,0,trainval,train
Abyssinian_110,0,0,trainval,train
Abyssinian_111,0,0,trainval,train
Abyssinian_114,0,0,trainval,train
Abyssinian_115,0,0,trainval,train
Abyssinian_116,0,0,trainval,train
Abyssinian_117,0,0,trainval,train
Abyssinian_118,0,0,trainval,train
Abyssinian_119,0,0,trainval,train
Abyssinian_12,0,0,trainval,train
Abyssinian_121,0,0,trainval,train
Abyssinian_122,0,0,trainval,train
Abyssinian_123,0,0,trainval,train
Abyssinian_124,0,0,trainval,train
Abyssinian_125,0,0,trainval,train
Abyssinian_126,0,0,trainval,train
Abyssinian_127,0,0,trainval,train
Abyssinian_129,0,0,trainval,train
Abyssinian_130,0,0,trainval,train
Abyssinian_131,0,0,trainval,train
Abyssinian_132,0,0,trainval,train
Abyssinian_133,0,0,trainval,train
Abyssinian_134,0,0,trainval,train
Abyssinian_136,0,0,trainval,train
Abyssinian_137,0,0,trainval,train
Abyssinian_138,0,0,trainval,train
Abyssinian_139,0,0,trainval,train
Abyssinian_14,0,0,trainval,train
Abyssinian_140,0,0,trainval,train
Abyssinian_141,0,0,trainval,train
Abyssinian_142,0,0,trainval,train
Abyssinian_143,0,0,trainval,train
Abyssinian_144,0,0,trainval,train
Abyssinian_145,0,0,trainval,train
Abyssinian_146,0,0,trainval,train
Abyssinian_148,0,0,trainval,train
Abyssinian_149,0,0,trainval,train
Abyssinian_15,0,0,trainval,train
Abyssinian_151,0,0,trainval,train
Abyssinian_152,0,0,trainval,train
Abyssinian_154,0,0,trainval,train
Abyssinian_155,0,0,trainval,train
Abyssinian_157,0,0,trainval,train
Abyssinian_158,0,0,trainval,train
Abyssinian_159,0,0,trainval,train
Abyssinian_16,0,0,trainval,train
Abyssinian_161,0,0,trainval,train
Abyssinian_165,0,0,trainval,train
Abyssinian_166,0,0,trainval,train
Abyssinian_167,0,0,trainval,train
Abyssinian_168,0,0,trainval,train
Abyssinian_169,0,0,trainval,train
Abyssinian_172,0,0,trainval,train
Abyssinian_173,0,0,trainval,train
Abyssinian_174,0,0,trainval,train
Abyssinian_175,0,0,trainval,train
Abyssinian_176,0,0,trainval,train
Abyssinian_177,0,0,trainval,train
Abyssinian_178,0,0,trainval,train
Abyssinian_179,0,0,trainval,train
